S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
79,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 26: Uniform continuity,Lecture 79 | Types of  discontinuity - 3 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=T8JHttQe184
80,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 26: Uniform continuity,Lecture 80 | Fixed Point Theorem - 1 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=dJRkgoNMO2s
81,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 27: Uniform continuity - Types of discontinuity,Lecture 81 | Fixed Point Theorem - 2 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=rxZkQCE7Vx0
82,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 27: Uniform continuity - Types of discontinuity,Lecture 82 | Fixed Point Theorem - 3 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=9ABGIyG5cLk
83,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 27: Uniform continuity - Types of discontinuity,Lecture 83 | Differentiability - 1 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=jLjJYIE3zpY
84,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 28: Types of discontinuity - Fixed Point Theorem,Lecture 84 | Differentiability - 2 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=qx4Nus9Dj-A
85,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 28: Types of discontinuity - Fixed Point Theorem,Lecture 85 | Differentiability - 3 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=SWbn3e4Ep0M
86,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 28: Types of discontinuity - Fixed Point Theorem,Lecture 86 | Differentiability - 4 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=_1fTG1yHnkY
87,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 29: Fixed Point Theorem - Differentiability,Lecture 87 | Differentiability - 5 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=bL_cY5-sal8
88,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 29: Fixed Point Theorem - Differentiability,Lecture 88 | Rolle's Theorem - 1 | R.A.| IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=s1JJAslq-E0
