Unnamed: 0,sector,name of course,module_name,Video Title,video_link_to_embed,BASIC_ADVANCED
145,Aerospace & Aviation,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Module 6: Future Trends,Mod-01 Lec-26 Introduction to Helicopter Aerodynamics and Dynamics,https://www.youtube.com/watch?v=_joeVYaml5E,ADVANCED
146,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 1: Regulations and Safety,Lecture 01 Rules and Regulations for Civil Aviation in India,https://www.youtube.com/watch?v=CoLWYZP9BkY,ADVANCED
147,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 1: Regulations and Safety,Lecture 02 Rules and Regulations for Civil Aviation in India contd,https://www.youtube.com/watch?v=I39GAZYVDn0,ADVANCED
148,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 2: Aircraft Systems,Lecture 03 Aircraft Hydraulic System,https://www.youtube.com/watch?v=zMp0tggkako,ADVANCED
149,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 2: Aircraft Systems,Lecture 04 Aircraft Fuel System,https://www.youtube.com/watch?v=ipB-Sirzfl4,ADVANCED
150,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 2: Aircraft Systems,Lecture 05 Aircraft Landing Gear System,https://www.youtube.com/watch?v=zPD11luVr0Y,ADVANCED
151,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 2: Aircraft Systems,Lecture 06 Aircraft Wheels,https://www.youtube.com/watch?v=xoo0oAyxbLY,ADVANCED
152,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 2: Aircraft Systems,Lecture 07 Aircraft Brakes System,https://www.youtube.com/watch?v=ZhOSqwEO2Qw,ADVANCED
153,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 2: Aircraft Systems,Lecture 08 Basic Aircraft Design,https://www.youtube.com/watch?v=ZM7r1cR09ik,ADVANCED
154,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 2: Aircraft Systems,Lecture 09 Aircraft Electrical System,https://www.youtube.com/watch?v=b0qaO_1mmOw,ADVANCED
155,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 2: Aircraft Systems,Lecture 10 Aircraft Electrical Circuit,https://www.youtube.com/watch?v=UlSVVTpLgm8,ADVANCED
156,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 3: Maintenance and Inspection,Lecture 11 Inspection of Aircraft,https://www.youtube.com/watch?v=roDKWbANFKE,ADVANCED
157,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 3: Maintenance and Inspection,Lecture 12 Maintenance Schedule,https://www.youtube.com/watch?v=ILSGuMyC6a0,ADVANCED
158,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 3: Maintenance and Inspection,Lecture 13 Maintenance schedule contd,https://www.youtube.com/watch?v=B3FjhPLjzso,ADVANCED
159,Aerospace & Aviation,Aircraft Maintenance/Technician,Module 3: Maintenance and Inspection,Lecture 14 inspection of cessna 206,https://www.youtube.com/watch?v=T2QWRIW8zaY,ADVANCED
160,Aerospace & Aviation,Aviation,Module 1: Introduction to Aviation,Aviation - Introduction to Aviation,https://www.youtube.com/watch?v=USnPFaqcuT4,BASIC
161,Aerospace & Aviation,Aviation,Module 1: Introduction to Aviation,Aviation - Terminologies,https://www.youtube.com/watch?v=GadeZEL9j6U,BASIC
162,Aerospace & Aviation,Aviation,Module 1: Introduction to Aviation,Aviation - Theory of Flight,https://www.youtube.com/watch?v=PhDfkGYw6eE,BASIC
163,Aerospace & Aviation,Aviation,Module 1: Introduction to Aviation,Aviation - How to Become a Flight Attendant & the Journey,https://www.youtube.com/watch?v=OUvM4uUkTO8,BASIC
164,Aerospace & Aviation,Aviation,Module 2: In-Flight Operations,Aviation - Different Aircraft Types & Cabin Crew Training,https://www.youtube.com/watch?v=69wTU5xkI0Y,BASIC
165,Aerospace & Aviation,Aviation,Module 2: In-Flight Operations,Aviation - CRM Crew Resource Management,https://www.youtube.com/watch?v=c-8rLmxAyH0,BASIC
166,Aerospace & Aviation,Aviation,Module 2: In-Flight Operations,Aviation - Safety Equipment & Checks In flight,https://www.youtube.com/watch?v=ZPkZc4Y200s,BASIC
167,Aerospace & Aviation,Aviation,Module 2: In-Flight Operations,Aviation - Cabin Crew Duties Normal Operations,https://www.youtube.com/watch?v=5DiS2uv4n9k,BASIC
168,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - Cabin Crew Duties - Abnormal Operations,https://www.youtube.com/watch?v=BdXa02QpSm4,BASIC
169,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - Cabin Crew Duties - Emergency Situations,https://www.youtube.com/watch?v=bKpvKd1BTeo,BASIC
170,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - Special Attention Passengers & Briefings,https://www.youtube.com/watch?v=XyU4e_00hwQ,BASIC
171,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - In-flight Communication System,https://www.youtube.com/watch?v=b2R_sCHk3Jw,BASIC
172,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - Aircraft Description,https://www.youtube.com/watch?v=eLAVMI-idwY,BASIC
173,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - Flight Deck,https://www.youtube.com/watch?v=Ve4-bxSKas4,BASIC
174,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - Aviation First Aid,https://www.youtube.com/watch?v=VwY6QHCAxDM,BASIC
175,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - Carry-on Baggage & Checked-in Baggage,https://www.youtube.com/watch?v=3v0Y3Op8vR4,BASIC
176,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - Customer Service,https://www.youtube.com/watch?v=w1hcULjoMN0,BASIC
177,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - Abnormal Happenings,https://www.youtube.com/watch?v=vvgmlqNaLBE,BASIC
178,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - Chain of Commands & CREW Hierarchy,https://www.youtube.com/watch?v=Ih9l1twp9-I,BASIC
179,Aerospace & Aviation,Aviation,Module 3: Advanced Cabin Crew Training,Aviation - Food and Hygiene,https://www.youtube.com/watch?v=yf9tCgvC4-8,BASIC
189,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 1: Fundamentals of Flight,Air pressure,https://www.youtube.com/watch?v=oWiOEMaMy3c,BASIC
190,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 1: Fundamentals of Flight,Lift Formula,https://www.youtube.com/watch?v=2zweEpnT5Fg,BASIC
191,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 1: Fundamentals of Flight,Axes of movement,https://www.youtube.com/watch?v=5IkPWZjUQlw,BASIC
192,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 1: Fundamentals of Flight,Control surfaces,https://www.youtube.com/watch?v=ovU3ziWkZWU,BASIC
193,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 1: Fundamentals of Flight,Effects of controls,https://www.youtube.com/watch?v=ez9JV-pJb5U,BASIC
194,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 1: Fundamentals of Flight,Moments of force,https://www.youtube.com/watch?v=zhWDnWaI5TE,BASIC
195,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 2: Aerodynamics,What is Drag?,https://www.youtube.com/watch?v=stNKrsiw6UA,BASIC
196,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 2: Aerodynamics,What is a stall?,https://www.youtube.com/watch?v=ZuGPcvC4vbw,BASIC
197,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 2: Aerodynamics,Factors affecting stall speed,https://www.youtube.com/watch?v=2iQttM-b-pQ,BASIC
198,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 2: Aerodynamics,Angle of incidence vs angle of attack.,https://www.youtube.com/watch?v=AUmL8mIUxyc,BASIC
199,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 2: Aerodynamics,Static stability vs dynamic stability.,https://www.youtube.com/watch?v=Q2DOus05Qso,BASIC
200,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 2: Aerodynamics,What is DIHEDRAL?,https://www.youtube.com/watch?v=WlwxH9SuH5M,BASIC
201,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 3: Navigation and Instruments,Magnetic Compass Errors. Part 1. Acceleration Errors.,https://www.youtube.com/watch?v=vUz09IpYCuY,BASIC
202,Aerospace & Aviation,Basic Aeronautical Knowledge,Module 3: Navigation and Instruments,Magnetic Compass Errors. Part 2. Turning Errors.,https://www.youtube.com/watch?v=WqXujnDw-kE,BASIC
