Sector,Sub Sector,Project Name,View Profile,Total Project Cost
Food Processing,Mushroom Processing,Mushroom Processing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MushroomProcessing.pdf,2500000
Electronics,Components,UPS and Stabilizers,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/UPSandStabilizers.pdf,1765460
Beauty & Wellness,Nail Care,Nail Polish,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NailPolish.pdf,231000
Electronics,Energy,Smart Energy Meter,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SmartEnergyMeter.pdf,2495000
Other Sectors,Cleaning Products,LAUNDRY SOAP ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAUNDRY SOAP.pdf,1050000
"Rubber, Chemical and Petrochemical",Lacquer,PRODUCTION OF SHELLAC VARNISH (FRENCH POLISH IMPROVED QUALITY) ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PRODUCTION OF SHELLAC VARNISH.pdf,368000
Beauty & Wellness,Hair Care,MANUFACTURING OF SHAMPOO,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF SHAMPOO.pdf,925000
Other Sectors,Recycling,cigarette waste cellulose fibre,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CigaretteWasteCelluloseFibre.pdf,2076000
Other Sectors,Gas Appliances,LPG Gas Pipe,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LPGGasPipe.pdf,2491000
Iron and Steel,Metalworking,Gun Metal Bushes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GunMetalBushes.pdf,2500000
Electronics,Retail Services,ELECTRONIC WEIGHING SCALES,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC WEIGHING SCALES.pdf,679000
HealthCare,Equipment,Surgical Dresses,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SurgicalDresses.pdf,2100000
"Rubber, Chemical and Petrochemical",Chemicals,Vanillin Project,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/VanillinProject.pdf,2744000
Logistics,Packaging Materials,Compostable bags,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Compostablebags.pdf,2500000
Other Sectors,Household,Glass Bowl,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GlassBowlDPR.pdf,1510000
HealthCare,Medicinal Herbs,Shatawari Processing Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ShatawariProcessingUnit.pdf,1740000
Food Processing,Fruit Processing,Mango Pulp,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MangoPulp.pdf,5710000
Power and Electrical,Electrical Supplies,Extension Board,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ExtensionBoard.pdf,2486000
