"ID","Project Name","Sector","Sub Sector","Total Project Cost","View Profile"
763,"LIPSTIC & KAJAL PENCIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Makeup","2398000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf"
764,"LIPSTIC & KAJAL PENCIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Makeup","2398000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf"
765,"LEATHR BRIEFCASE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1504000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHR BRIEFCASE.pdf"
766,"LEATHR BRIEFCASE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1504000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHR BRIEFCASE.pdf"
767,"LEATHR BRIEFCASE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1504000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHR BRIEFCASE.pdf"
768,"LEATHR BRIEFCASE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1504000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHR BRIEFCASE.pdf"
769,"LEATHR BRIEFCASE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1504000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHR BRIEFCASE.pdf"
770,"LEATHR BRIEFCASE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1504000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHR BRIEFCASE.pdf"
771,"LEATHER WALLETS AND PURSES (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1660000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf"
772,"LEATHER WALLETS AND PURSES (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1660000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf"
773,"LEATHER WALLETS AND PURSES (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1660000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf"
