"ID","Project Name","Sector","Sub Sector","Total Project Cost","View Profile"
1654,"MANUFACTURING SHELLAC INSULATING VARNISH(Air-Drying) (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","268525","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING SHELLAC INSULATING VARNISH(Air-Drying).pdf"
1655,"MANUFACTURING SHELLAC INSULATING VARNISH(Air-Drying) (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","268525","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING SHELLAC INSULATING VARNISH(Air-Drying).pdf"
1656,"MANUFACTURING SHELLAC INSULATING VARNISH(Air-Drying) (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","268525","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING SHELLAC INSULATING VARNISH(Air-Drying).pdf"
1657,"MANUFACTURING OF SHAMPOO (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Hair Care","925000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF SHAMPOO.pdf"
1658,"MANUFACTURING OF SHAMPOO (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Hair Care","925000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF SHAMPOO.pdf"
1659,"MANUFACTURING OF SHAMPOO (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Hair Care","925000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF SHAMPOO.pdf"
1660,"MANUFACTURING OF NAIL POLISH (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","312500","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF NAIL POLISH.pdf"
1661,"MANUFACTURING OF NAIL POLISH (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","312500","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF NAIL POLISH.pdf"
1662,"MANUFACTURING OF NAIL POLISH (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","312500","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF NAIL POLISH.pdf"
1663,"MANUFACTURING OF NAIL POLISH (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","312500","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF NAIL POLISH.pdf"
1664,"MANUFACTURING OF NAIL POLISH (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","312500","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF NAIL POLISH.pdf"
1665,"MANUFACTURING OF NAIL POLISH (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","312500","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF NAIL POLISH.pdf"
1666,"MANUFACTURING OF MEHANDI (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","370000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF MEHANDI.pdf"
1667,"MANUFACTURING OF MEHANDI (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","370000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF MEHANDI.pdf"
1668,"MANUFACTURING OF MEHANDI (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","370000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF MEHANDI.pdf"
1669,"MANUFACTURING OF MEHANDI (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","370000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF MEHANDI.pdf"
1670,"MANUFACTURING OF MEHANDI (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","370000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF MEHANDI.pdf"
1671,"MANUFACTURING OF MEHANDI (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Cosmetics Manufacturing","370000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF MEHANDI.pdf"
1672,"MANUFACTURING OF JAVADHU POWDER (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","315500","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF JAVADHU POWDER.pdf"
1673,"MANUFACTURING OF JAVADHU POWDER (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","315500","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF JAVADHU POWDER.pdf"
1674,"MANUFACTURING OF JAVADHU POWDER (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","315500","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF JAVADHU POWDER.pdf"
1675,"MANUFACTURING OF HAIR OIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Hair Care","725000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF HAIR OIL.pdf"
1676,"MANUFACTURING OF HAIR OIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Hair Care","725000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF HAIR OIL.pdf"
1677,"MANUFACTURING OF HAIR OIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Hair Care","725000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF HAIR OIL.pdf"
1678,"MANUFACTURING OF HAIR OIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Hair Care","725000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF HAIR OIL.pdf"
1679,"MANUFACTURING OF HAIR OIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Hair Care","725000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF HAIR OIL.pdf"
1680,"MANUFACTURING OF HAIR OIL (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Automotive","Hair Care","725000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF HAIR OIL.pdf"
1681,"MANUFACTURING OF DETERGENT POWDER & CAKE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","1075000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF DETERGENT POWDER & CAKE.pdf"
1682,"MANUFACTURING OF DETERGENT POWDER & CAKE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","1075000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF DETERGENT POWDER & CAKE.pdf"
1683,"MANUFACTURING OF DETERGENT POWDER & CAKE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","1075000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF DETERGENT POWDER & CAKE.pdf"
1684,"MANUFACTURING OF DETERGENT POWDER & CAKE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","1075000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF DETERGENT POWDER & CAKE.pdf"
1685,"MANUFACTURING OF DETERGENT POWDER & CAKE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","1075000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF DETERGENT POWDER & CAKE.pdf"
1686,"MANUFACTURING OF DETERGENT POWDER & CAKE (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Strategic Manufacturing","Cleaning Products","1075000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF DETERGENT POWDER & CAKE.pdf"
1687,"PROGRAMME MANUFACTURING OF AGARBATTI (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Rubber, Chemical and Petrochemical","Chemicals","725000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF AGARBATTI.pdf"
1688,"PROGRAMME MANUFACTURING OF AGARBATTI (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Rubber, Chemical and Petrochemical","Chemicals","725000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF AGARBATTI.pdf"
1689,"PROGRAMME MANUFACTURING OF AGARBATTI (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Rubber, Chemical and Petrochemical","Chemicals","725000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF AGARBATTI.pdf"
1690,"MANUFACTURE OF SAFETY PINS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Other Sectors","Stationery Manufacturing","531000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF SAFETY PINS.pdf"
1691,"MANUFACTURE OF SAFETY PINS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Other Sectors","Stationery Manufacturing","531000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF SAFETY PINS.pdf"
1692,"MANUFACTURE OF SAFETY PINS (Ã‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃ‚Â )","Other Sectors","Stationery Manufacturing","531000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF SAFETY PINS.pdf"
1693,"MANUFACTURE OF MEDICATED OIL (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","505000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF MEDICATED OIL.pdf"
1694,"MANUFACTURE OF MEDICATED OIL (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","505000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF MEDICATED OIL.pdf"
1695,"MANUFACTURE OF MEDICATED OIL (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","505000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF MEDICATED OIL.pdf"
1696,"MANUFACTURE OF MEDICATED GHEE (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","485000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF MEDICATED GHEE.pdf"
1697,"MANUFACTURE OF MEDICATED GHEE (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","485000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF MEDICATED GHEE.pdf"
1698,"MANUFACTURE OF MEDICATED GHEE (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","485000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF MEDICATED GHEE.pdf"
1699,"MANUFACTURE OF AYURVEDIC VATI GUTIKA (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","506000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC VATI GUTIKA.pdf"
1700,"MANUFACTURE OF AYURVEDIC VATI GUTIKA (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","506000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC VATI GUTIKA.pdf"
1701,"MANUFACTURE OF AYURVEDIC VATI GUTIKA (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","506000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC VATI GUTIKA.pdf"
1702,"MANUFACTURE OF AYURVEDIC TABLETS (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","601000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC TABLETS.pdf"
1703,"MANUFACTURE OF AYURVEDIC TABLETS (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","601000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC TABLETS.pdf"
1704,"MANUFACTURE OF AYURVEDIC TABLETS (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","601000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC TABLETS.pdf"
1705,"MANUFACTURE OF AYURVEDIC CHURNA (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","476000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC CHURNA.pdf"
1706,"MANUFACTURE OF AYURVEDIC CHURNA (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","476000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC CHURNA.pdf"
1707,"MANUFACTURE OF AYURVEDIC CHURNA (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","476000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC CHURNA.pdf"
1708,"MANUFACTURE OF AYURVEDIC CAPSULE (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","447000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC CAPSULE.pdf"
1709,"MANUFACTURE OF AYURVEDIC CAPSULE (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","447000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC CAPSULE.pdf"
1710,"Hand Sanitizer","Beauty & Wellness","Hygiene Products","2335000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HandSanitizer.pdf"
1711,"MANUFACTURE OF AYURVEDIC CAPSULE (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","447000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC CAPSULE.pdf"
1712,"MANUFACTURE OF AYURVEDIC ASAVA, ARISTA, KWATHA, SYRUP (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","765000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC ASAVA, ARISTA, KWATHA, SYRUP.pdf"
1713,"MANUFACTURE OF AYURVEDIC ASAVA, ARISTA, KWATHA, SYRUP (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","765000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC ASAVA, ARISTA, KWATHA, SYRUP.pdf"
1714,"MANUFACTURE OF AYURVEDIC ASAVA, ARISTA, KWATHA, SYRUP (Ã‚Â FOREST BASED INDUSTRYÃ‚Â )","Food Processing","Ayurvedic Products","765000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC ASAVA, ARISTA, KWATHA, SYRUP.pdf"
1715,"Mango Pulp","Food Processing","Fruit Processing","5710000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MangoPulp.pdf"
1716,"Mango Pulp","Food Processing","Fruit Processing","5710000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MangoPulp.pdf"
1717,"Mango Pulp","Food Processing","Fruit Processing","5710000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MangoPulp.pdf"
1718,"Makhana Snacks","Food Processing","Snack Manufacturing","4056000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MakhanaSnacks.pdf"
1719,"Makhana Snacks","Food Processing","Snack Manufacturing","4056000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MakhanaSnacks.pdf"
1720,"Makhana Snacks","Food Processing","Snack Manufacturing","4056000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MakhanaSnacks.pdf"
1721,"Mahua Flower Jam Unit","Food Processing","Jam & Jelly Manufacturing","2424000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MahuaFlowerJamUnit.pdf"
1722,"Mahua Flower Jam Unit","Food Processing","Jam & Jelly Manufacturing","2424000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MahuaFlowerJamUnit.pdf"
1723,"Mahua Flower Jam Unit","Food Processing","Jam & Jelly Manufacturing","2424000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MahuaFlowerJamUnit.pdf"
1724,"Magnesium Sulphate","Life Sciences","Excipients","2150000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MagnesiumSulphate.pdf"
1725,"Magnesium Sulphate","Life Sciences","Excipients","2150000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MagnesiumSulphate.pdf"
1726,"Magnesium Sulphate","Life Sciences","Excipients","2150000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MagnesiumSulphate.pdf"
1727,"Magnesium Stearate","Life Sciences","Excipients","2400000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MagnesiumStearate.pdf"
1728,"Magnesium Stearate","Life Sciences","Excipients","2400000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MagnesiumStearate.pdf"
1729,"Magnesium Stearate","Life Sciences","Excipients","2400000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MagnesiumStearate.pdf"
1730,"Made Ups","Apparel, Made-Ups & Home Furnishing","Textile Manufacturing","2500000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Madeups.pdf"
1731,"Made Ups","Apparel, Made-Ups & Home Furnishing","Textile Manufacturing","2500000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Madeups.pdf"
1732,"Made Ups","Apparel, Made-Ups & Home Furnishing","Textile Manufacturing","2500000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Madeups.pdf"
1733,"Macroni","Food Processing","Fruit Processing","1044000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Macroni.pdf"
1734,"Macroni","Food Processing","Fruit Processing","1044000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Macroni.pdf"
1735,"Macroni","Food Processing","Fruit Processing","1044000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Macroni.pdf"
1736,"lubricant spray","Automotive","Parts","1971000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/lubricantspray.pdf"
1737,"lubricant spray","Automotive","Parts","1971000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/lubricantspray.pdf"
1738,"lubricant spray","Automotive","Parts","1971000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/lubricantspray.pdf"
1739,"LT Control Panel","Electronics","Electrical Engineering","920000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LTControlPanel.pdf"
1740,"LT Control Panel","Electronics","Electrical Engineering","920000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LTControlPanel.pdf"
1741,"LT Control Panel","Electronics","Electrical Engineering","920000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LTControlPanel.pdf"
1742,"LPG Gas Pipe","Electronics","Gas Appliances","2491000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LPGGasPipe.pdf"
1743,"LPG Gas Pipe","Electronics","Gas Appliances","2491000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LPGGasPipe.pdf"
1744,"LPG Gas Pipe","Electronics","Gas Appliances","2491000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LPGGasPipe.pdf"
1745,"Loin Cloth_DPR","Automotive","Fabric","1025000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LoinClothDPR.pdf"
1746,"Loin Cloth_DPR","Automotive","Fabric","1025000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LoinClothDPR.pdf"
1747,"Loin Cloth_DPR","Automotive","Fabric","1025000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LoinClothDPR.pdf"
1748,"LLDPE Agricultural Mulch","Strategic Manufacturing","Hygiene Products","4278000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LLDPEAgriculturalMulch.pdf"
1749,"LLDPE Agricultural Mulch","Strategic Manufacturing","Hygiene Products","4278000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LLDPEAgriculturalMulch.pdf"
1750,"LLDPE Agricultural Mulch","Strategic Manufacturing","Hygiene Products","4278000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LLDPEAgriculturalMulch.pdf"
1751,"Lithium Ion Battery","Electronics","Battery Technology","2666000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LithiumIonBattery.pdf"
1752,"Lithium Ion Battery","Electronics","Battery Technology","2666000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LithiumIonBattery.pdf"
1753,"Lithium Ion Battery","Electronics","Battery Technology","2666000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LithiumIonBattery.pdf"
1754,"Liquid Shoe Polish","Strategic Manufacturing","Shoe Care","2600000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidShoePolish.pdf"
1755,"Liquid Shoe Polish","Strategic Manufacturing","Shoe Care","2600000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidShoePolish.pdf"
1756,"Liquid Shoe Polish","Strategic Manufacturing","Shoe Care","2600000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidShoePolish.pdf"
1757,"Liquid Handwash","HealthCare","HealthCare","335000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidHandwash.pdf"
1758,"Liquid Handwash","HealthCare","HealthCare","335000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidHandwash.pdf"
1759,"Liquid Handwash","HealthCare","HealthCare","335000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidHandwash.pdf"
1760,"Liquid Detergent","Strategic Manufacturing","Cleaning Products","1421000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidDetergent.pdf"
1761,"Liquid Detergent","Strategic Manufacturing","Cleaning Products","1421000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidDetergent.pdf"
1762,"Liquid Detergent","Strategic Manufacturing","Cleaning Products","1421000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidDetergent.pdf"
1763,"Lime Pickle","Food Processing","Pickle Manufacturing","1512000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LimePickle.pdf"
1764,"Lime Pickle","Food Processing","Pickle Manufacturing","1512000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LimePickle.pdf"
1765,"Lime Pickle","Food Processing","Pickle Manufacturing","1512000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LimePickle.pdf"
1766,"Lemon Grass Oil","Automotive","Essential Oils","2163000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LemonGrassOil.pdf"
1767,"Lemon Grass Oil","Automotive","Essential Oils","2163000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LemonGrassOil.pdf"
1768,"Lemon Grass Oil","Automotive","Essential Oils","2163000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LemonGrassOil.pdf"
1769,"LED Lighting System","Electronics","Electronics Manufacturing","1469000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDLightingSystem.pdf"
1770,"LED Lighting System","Electronics","Electronics Manufacturing","1469000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDLightingSystem.pdf"
1771,"LED Lighting System","Electronics","Electronics Manufacturing","1469000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDLightingSystem.pdf"
1772,"LED Lamp assembly unit","Electronics","Electronics Manufacturing","2083000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDLampassemblyunit.pdf"
