Sector,Sub Sector,Project Name,View Profile
Food Processing,Snack Manufacturing,Gajak final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Gajakfinal.pdf
Other Sectors,Metalworking,Galvanized steel wire,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Galvanizedsteelwire.pdf
Iron and Steel,Metalworking,GALVENIZED IRON ROOFING SHEETS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GALVENIZEDIRONROOFINGSHEETS.pdf
Strategic Manufacturing,Cleaning,garbage bags,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/garbagebags.pdf
Furniture & Fittings,Furniture,GARDEN CHAIR (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GARDEN CHAIR.pdf
Food Processing,Sauces,garlic bread spread,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/garlicbreadspread.pdf
Food Processing,Spice Processing,Garlic Powder & Flakes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GarlicPowderFlakes.pdf
Strategic Manufacturing,Kitchen Appliances,Gas Lighter,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GasLighter.pdf
Automotive,Handicrafts,Gaurastone Handicraft,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GaurastoneHandicraft.pdf
Other Sectors,Metalworking,Gear Blanks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GearBlanks.pdf
"Apparel, Made-Ups & Home Furnishing",Apparel Manufacturing,GENT'S SHIRTS (Ãƒâ€šÃ‚Â SERVICE AND TEXTILE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GENT'S SHIRTS.pdf
"Apparel, Made-Ups & Home Furnishing",Apparel Manufacturing,GENTS T SHIRTS (Ãƒâ€šÃ‚Â SERVICE AND TEXTILE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GENTS T SHIRTS.pdf
Automotive,Essential Oils,Geranium Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GeraniumOil.pdf
Agriculture,Flower Cultivation,Gerbera Cultivation,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GerberaCultivation.pdf
Food Processing,Dairy Products,Ghee,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Ghee.pdf
Media & Entertainment,Musical Instruments,Ghungroo & Ghanti,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Ghungroo&Ghanti.pdf
Food Processing,Spice Processing,GINGER AND GARLIC PROCESSING (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GINGER AND GARLIC PROCESSING.pdf
Food Processing,Spice Processing,Ginger Processing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GingerProcessing.pdf
Food Processing,Oil Processing,GINGILEE OIL AND OIL CAKE MANUAFCURING (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GINGILEE OIL AND OIL CAKE MANUAFCURING.pdf
Automotive,Handicrafts,Glass Bangles_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GlassBanglesDPR.pdf
Automotive,Handicrafts,Glass Mirror making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GlassMirrormaking.pdf
Other Sectors,Glass,glass recycling,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/glassrecycling.pdf
Other Sectors,Metallurgy,Graphite Crucibles,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GraphiteCrucibles.pdf
Food Processing,Spice Processing,Green cardamom powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Greencardamompowder.pdf
Food Processing,Sauce Manufacturing,Green Chilli Sauce,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GreenChilliSauce.pdf
Food Processing,Beverages,gripe water plant,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/gripewaterplant.pdf
Food Processing,Oil Processing,Groundnut oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Groundnutoil.pdf
Food Processing,Oil Processing,GROUNDNUT OIL AND OIL CAKE MANUAFCURING (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GROUNDNUT OIL AND OIL CAKE MANUAFCURING.pdf
Food Processing,Nuts,groundnut processing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/groundnutprocessing.pdf
Food Processing,Nut Processing,Groundnut Processing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GroundnutProcessing.pdf
Food Processing,Condiments,gulkand,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/gulkand.pdf
Food Processing,Fruit Processing,GULKAND (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GULKAND.pdf
Logistics,Packaging Materials,Gummed Paper Tape,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GummedPaperTape.pdf
Logistics,Packaging Materials,Gunny Bag,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GunnyBag.pdf
Other Sectors,Packaging,gunny bags,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/gunnybags.pdf
Automotive,Hair Care,HAIR CONDITIONER (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HAIR CONDITIONER.pdf
Automotive,Hair Styling,Hair gel,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Hairgel.pdf
Beauty & Wellness,Hygiene Products,Hand Sanitizer,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HandSanitizer.pdf
Automotive,Handicrafts,Handicraft Jwellery,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HandicraftJwellery.pdf
Automotive,Handicrafts,Handmade Carpet,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HandmadeCarpet.pdf
Other Sectors,Paper Manufacturing,Handmade Paper,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HandmadePaper.pdf
Other Sectors,Paper Manufacturing,Handmade paper from waste,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Handmadepaperfromwaste.pdf
Food Processing,Pickle Making,Handmade Pickle,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HandmadePickle.pdf
Other Sectors,Hardware,handpump,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/handpump.pdf
Other Sectors,Metalworking,Hard Chromium Plating,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HardChromiumPlating.pdf
Electronics,Electronics Manufacturing,HARD RUBBER BATTERY CONTAINERS (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HARD RUBBER BATTERY CONTAINERS.pdf
Retail,Store,Hardware,/srv/YouthMissionMobile/DPR/Hardware__Store__5Lac.pdf
Retail,Store,Hardware Store,/srv/YouthMissionMobile/DPR/Hardware_Store.pdf
Retail,Store,Hardware Store,/srv/YouthMissionMobile/DPR/Hardware__Store.pdf
Food Processing,Oil Processing,Harra Oil Processing Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HarraOilProcessingUnit.pdf
Other Sectors,Plastics,hdpe bucket,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/hdpebucket.pdf
Strategic Manufacturing,Kitchenware,HDPE Buckets,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HDPEBuckets.pdf
Logistics,Packaging Materials,HDPE Edible Oil Container,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HDPEEdibleOilContainer.pdf
Food Processing,Fitness Services,Health & Fitness Centre,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HealthFitnessCentre.pdf
Strategic Manufacturing,Heat Transfer,Heat Pipe,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HeatPipe.pdf
Automotive,Accessories,helmet,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/helmet.pdf
Automotive,Oral Care,Herbal Toothpaste,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HerbalToothpaste.pdf
Other Sectors,Metalworking,HIGH DUTY IRON CASTINGS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HIGH DUTY IRON CASTINGS.pdf
Food Processing,Oil Processing,Hirda Oil Processing Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HirdaOilProcessingUnit.pdf
Automotive,Building Materials,Hollow and Cement Concrete bricks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HollowandCementConcretebricks.pdf
Food Processing,Jam & Jelly Manufacturing,HONEY JAM MANUFACTURING (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HONEY JAM MANUFACTURING.pdf
Logistics,Packaging Materials,Honey Packaging Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HoneyPackagingUnit.pdf
Food Processing,Honey Processing,Honey Processing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HoneyProcessing.pdf
Food Processing,Honey Processing,HONEY PROCESSING PLANT & HONEY HOUSE (Ãƒâ€šÃ‚Â FOREST BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HONEY PROCESSING PLANT & HONEY HOUSE.pdf
"Apparel, Made-Ups & Home Furnishing",Footwear Manufacturing,HURRAICHI CHAPPALS & SANDALS (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HURRAICHI CHAPPALS & SANDALS.pdf
HealthCare,Eye Care,I SIGHT VISION CENTRE (EYE CARE SERVICES),/srv/YouthMissionMobile/DPR/Eye__care__services__unit__(__Rayees__Ah.__Thoker).pdf
Food Processing,Ice Cream Manufacturing,Ice Cream,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/IceCream.pdf
Food Processing,Snack Manufacturing,Ice cream cone making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Icecreamconemaking.pdf
Food Processing,Ice Cream Manufacturing,ICE-CREAM PARLOUR (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ICE-CREAM PARLOUR.pdf
Food Processing,Ice Cream Manufacturing,ICE-CREAM PARLOUR (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ICE-CREAM PARLOUR - 1.pdf
Food Processing,Sauces,imli sauce,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/imlisauce.pdf
Other Sectors,Electronics,insulator,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/insulator.pdf
Automotive,Building Materials,Interlocking bricks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Interlockingbricks.pdf
Electronics,Electronics Manufacturing,INVERTER ASSEMBLY (Ãƒâ€šÃ‚Â SERVICE AND TEXTILE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON INVERTER ASSEMBLY.pdf
Automotive,Vehicle Parts,Inverter Battery Casting,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/InverterBatteryCasting.pdf
Food Processing,Perfumes,Ittar,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Ittar.pdf
Food Processing,Medical Equipment,IV Stand,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/IVStand.pdf
Food Processing,Snack Manufacturing,JACKFRUIT PRODUCTS (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/JACKFRUIT PRODUCTS.pdf
Food Processing,Sugar Manufacturing,Jaggery,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jaggery.pdf
Food Processing,Jam & Jelly Manufacturing,Jam & Jelly,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/JamJelly.pdf
Food Processing,Jam & Jelly Manufacturing,JAM JELLY MURABBA MANUFACTURING SCHEME (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/JAM JELLY MURABBA MANUFACTURING SCHEME.pdf
Food Processing,Candy Manufacturing,Jamun Candy,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/JamunCandy.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Jeggings,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jeggings.pdf
Automotive,Handicrafts,Jute bag making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jutebagmaking.pdf
Automotive,Handicrafts,Jute Wall Hanging,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/JuteWallHanging.pdf
Food Processing,Rice Processing,Kala Namak Chawal_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KalaNamakChawalDPR.pdf
Food Processing,Rice Processing,Katarni Rice_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KatarniRiceDPR.pdf
Electronics,Appliances,keyboard,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/keyboard.pdf
Electronics,Electronics Manufacturing,Keyboard,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Keyboard.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Khadi Kurti,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KhadiKurti.pdf
Food Processing,Snack Manufacturing,Khakhra Semi automatic,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KhakhraSemiautomatic.pdf
Food Processing,Pulses Processing,Kholar(Rajma) Processing_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KholarRajmaProcessingDPR.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Kids Woolen Sweater,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KidsWoolenSweater.pdf
Food Processing,Snack Manufacturing,KISMIS/BEDANA MANACTURING (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KISMISBEDANA MANACTURING.pdf
Electronics,Kitchen Appliances,Kitchen Chimney,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KitchenChimney.pdf
Other Sectors,Textiles,knitted lace,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/knittedlace.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,KNITTED SOCKS (Ãƒâ€šÃ‚Â SERVICE AND TEXTILE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KNITTED SOCKS.pdf
Food Processing,Snack Manufacturing,Kurkure,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Kurkure.pdf
Food Processing,Snacks,kurkure snacks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/kurkuresnacks.pdf
Food Processing,Snack Manufacturing,KURKURE TYPE SNACKS (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KURKURE TYPE SNACKS.pdf
Food Processing,Snack Manufacturing,KURKURE TYPE SNACKS SMALL (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KURKURE TYPE SNACKS SMALL.pdf
Automotive,Handicrafts,LAC BANGLES MANUFACTURING UNIT (Ãƒâ€šÃ‚Â MINERAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LAC BANGLES MANUFACTURING UNIT.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Ladies Suit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LadiesSuit.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Ladies Suits,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LadiesSuits.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,LADY'S BLOUSE & PETTICOATS (Ãƒâ€šÃ‚Â SERVICE AND TEXTILE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LADY'S BLOUSE & PETTICOATS.pdf
Other Sectors,Flooring,laminate wood flooring,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LaminateWoodFlooring.pdf
Other Sectors,Glass Manufacturing,Laminated Safety Glass,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LaminatedSafetyGlass.pdf
Other Sectors,Glass Manufacturing,LAMINATED SAFETY GLASS (Ãƒâ€šÃ‚Â MINERAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMINATED SAFETY GLASS.pdf
Electronics,Electronics Manufacturing,LAMP HOLDERS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS - 1.pdf
Strategic Manufacturing,Cleaning Products,Laundry Soap,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LaundrySoap.pdf
Electronics,Battery Technology,Lead acid battery,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Leadacidbattery.pdf
Other Sectors,Stationery Manufacturing,Lead Pencil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LeadPencil.pdf
Other Sectors,Stationery Manufacturing,LEAD PENCILS (Ãƒâ€šÃ‚Â MINERAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEAD PENCILS.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,LEATHER APRONS (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER APRONS.pdf
Other Sectors,Leather Goods,leather bag,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/leatherbag.pdf
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,Leather bags final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Leatherbagsfinal.pdf
"Sports, Physical Education, Fitness & Leisure",Cricket,Leather Cricket Ball,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LeatherCricketBall.pdf
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,Leather Jackets_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LeatherJacketsDPR.pdf
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,LEATHER JEWELLERY (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER JEWELLERY.pdf
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,Leather Purse_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LeatherPurseDPR.pdf
"Apparel, Made-Ups & Home Furnishing",Footwear Manufacturing,LEATHER SANDAL WITH P.U. SOLE (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEATHER SANDAL WITH P.U.pdf
"Apparel, Made-Ups & Home Furnishing",Footwear Manufacturing,Leather shoes project,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Leathershoesproject.pdf
"Apparel, Made-Ups & Home Furnishing",Toy Manufacturing,LEATHER TOYS (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON  LEATHER TOYS.pdf
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,Leather waist belt,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Leatherwaistbelt.pdf
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,Leather waist Belts,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LeatherwaistBelts.pdf
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,LEATHER WALLETS AND PURSES (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf
"Apparel, Made-Ups & Home Furnishing",Accessories Manufacturing,LEATHR BRIEFCASE (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHR BRIEFCASE.pdf
Electronics,Electronics Manufacturing,LED Bulb,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDBulb.pdf
Electronics,Electronics Manufacturing,LED Lamp assembly unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDLampassemblyunit.pdf
Electronics,Electronics Manufacturing,LED Lighting System,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDLightingSystem.pdf
Automotive,Essential Oils,Lemon Grass Oil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LemonGrassOil.pdf
Automotive,Makeup,LIPSTIC & KAJAL PENCIL (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf
Strategic Manufacturing,Cleaning Products,Liquid Detergent,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidDetergent.pdf
Strategic Manufacturing,Cleaning Products,LIQUID DETERGENT (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIQUID DETERGENT.pdf
"Rubber, Chemical and Petrochemical",Cleaning Products,LIQUID DETERGENT (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIQUID DETERGENT.pdf
HealthCare,HealthCare,Liquid Handwash,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidHandwash.pdf
Strategic Manufacturing,Shoe Care,Liquid Shoe Polish,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LiquidShoePolish.pdf
Electronics,Battery Technology,Lithium Ion Battery,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LithiumIonBattery.pdf
Strategic Manufacturing,Hygiene Products,LLDPE Agricultural Mulch,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LLDPEAgriculturalMulch.pdf
Automotive,Fabric,Loin Cloth_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LoinClothDPR.pdf
Electronics,Battery Technology,LOW COST RADIO RECEIVERS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf
Other Sectors,Home Appliances,LPG COOKING RANGE (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf
