"Sr. No.","Sector","Name Of Course","Online","Duration","Required Age","Minimum Education","Requisites","Language","Required Description","For Certification Advanced Module","Video Link To Embed","Project Under Hadp","Skill Training Course","Title Of Lectures","Link Kashmiri Video","Link Urdu Video","Link Dogri Video","Link Hindi Video","Course Language"
1116,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Innovation Extension Approaches","1. ICT Enabling of Youth for 4th Gen Agriculture","19.1.5.ICT for News and Media",null,null,"https://www.youtube.com/watch?v=y7yhDXlGU0k","https://youtu.be/J-2qNXMmk4E","DOGRI & HINDI"
1117,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Innovation Extension Approaches","1. ICT Enabling of Youth for 4th Gen Agriculture","19.1.6.Basics of Computer",null,null,"https://www.youtube.com/watch?v=qbLtnSK4dSs","https://youtu.be/Td1DJNyd3TU","DOGRI & HINDI"
1118,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Innovation Extension Approaches","1. ICT Enabling of Youth for 4th Gen Agriculture","19.1.7.Data processing and communication",null,null,"https://www.youtube.com/watch?v=0QZfhDujeQY","https://youtu.be/xE31M3Q8ZQ4","DOGRI & HINDI"
1119,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Innovation Extension Approaches","1. ICT Enabling of Youth for 4th Gen Agriculture","19.1.8.Applicable Software Tools",null,null,"https://www.youtube.com/watch?v=1dibIJ_b7EE","https://youtu.be/QnJjDq1XX6Y","DOGRI & HINDI"
1120,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Innovation Extension Approaches","1. ICT Enabling of Youth for 4th Gen Agriculture","19.1.9.Agriculture Price Analysis",null,null,"https://www.youtube.com/watch?v=IhgjmmSF8mI","https://youtu.be/tVc5DVIAXHE","DOGRI & HINDI"
1121,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Innovation Extension Approaches","1. ICT Enabling of Youth for 4th Gen Agriculture","19.1.10.Handling of Audio-visual aids",null,null,"https://www.youtube.com/watch?v=JD6juH3fg1U","https://youtu.be/_IMDr2rNvg8","DOGRI & HINDI"
1122,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","1. Establishment of Nursery for Quality Planting Material","20.1.1. Types & Importance of nursery in fruit production.",null,null,"https://www.youtube.com/watch?v=DB4rmqC__jw","https://youtu.be/H1uEUDrMhyA","DOGRI & HINDI"
1123,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","1. Establishment of Nursery for Quality Planting Material","20.1.2., Components and Layout of nursery",null,null,"https://www.youtube.com/watch?v=0Uu_Qi1orcQ","https://youtu.be/Xs0BXkBYw7I","DOGRI & HINDI"
1124,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","1. Establishment of Nursery for Quality Planting Material","20.1.3.Irrigation and Fertilization schedule and methodology for Mango Guava & Citrus",null,null,"https://www.youtube.com/watch?v=75yUK1EXp_U","https://youtu.be/B_M_JV2Yimw","DOGRI & HINDI"
1125,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","1. Establishment of Nursery for Quality Planting Material","20.1.4.Multiplication techniques in Mango Guava & Citrus (Grafting/ budding etc and their aftercare)",null,null,"https://www.youtube.com/watch?v=9tffn_JFymI","https://youtu.be/kYiV_agAbVo","DOGRI & HINDI"
1126,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","1. Establishment of Nursery for Quality Planting Material","20.1.5.Quality standards of plant material of specified crops",null,null,"https://www.youtube.com/watch?v=iiokMaH69Bg","https://youtu.be/9LP_Vwm7gZk","DOGRI & HINDI"
1127,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","1. Establishment of Nursery for Quality Planting Material","20.1.6. Diseases management and virus indexing for nursery/ rootstocks bank for creation of certified quality plant material.",null,null,"https://www.youtube.com/watch?v=daXmNrMGkXM","https://youtu.be/clnjBf4Blrs","DOGRI & HINDI"
1128,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","1. Establishment of Nursery for Quality Planting Material","20.1.7 Business Plan",null,null,"https://www.youtube.com/watch?v=CqUWYHbB3y0","https://youtu.be/X6OHfRbF4zw","DOGRI & HINDI"
1129,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","1. Establishment of Nursery for Quality Planting Material","20.1.8 Financial Plan",null,null,"https://www.youtube.com/watch?v=CqUWYHbB3y0","https://youtu.be/X6OHfRbF4zw","DOGRI & HINDI"
1130,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","1. Establishment of Nursery for Quality Planting Material",null,null,null,null,null,"DOGRI & HINDI"
1131,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","2. Establishment of Rootstock Bank","20.2.1.Layout, Soil, irrigation and field preparation of specified crops",null,null,"https://www.youtube.com/watch?v=DEjjwMBlUow","https://youtu.be/NT6ckOv1nlI","DOGRI & HINDI"
1132,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","2. Establishment of Rootstock Bank","20.2.2.Fertilization schedule for mango, guava and citrus fruit crops",null,null,"https://www.youtube.com/watch?v=uNYlgALtryQ","https://youtu.be/EA4vgHwpKTU","DOGRI & HINDI"
1133,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","2. Establishment of Rootstock Bank","20.2.3.Multiplication techniques and after care in different rootstocks of specified fruit crops",null,null,"https://www.youtube.com/watch?v=7hjZRv4nXHo","https://youtu.be/O_hwi3fU9NI","DOGRI & HINDI"
1134,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","2. Establishment of Rootstock Bank","20.2.4.Quality standards of rootstocks of different fruit crops",null,null,"https://www.youtube.com/watch?v=BHQSGo4Dl8s","https://youtu.be/ViuvSIc5WmU","DOGRI & HINDI"
1135,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","2. Establishment of Rootstock Bank","20.2.5 Business Plan",null,null,"https://www.youtube.com/watch?v=aoEMhXFwK5k","https://youtu.be/S17WuOjXPYU","DOGRI & HINDI"
1136,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","2. Establishment of Rootstock Bank","20.2.6 Financial Plan",null,null,"https://www.youtube.com/watch?v=mfgtzYnahpM","https://youtu.be/kTILVkG8CBY","DOGRI & HINDI"
1137,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","3. Establishment of Motherblocks","20.3.1.Layout, Soil , irrigation and field preparation",null,null,"https://www.youtube.com/watch?v=g9lb0_EjJbo","https://youtu.be/NB8u53tQwdA","DOGRI & HINDI"
1138,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","3. Establishment of Motherblocks","20.3.2.Fertilization schedule for mango, guava and citrus fruit crops",null,null,"https://www.youtube.com/watch?v=QeM2uR41w1w","https://youtu.be/HPciWobctEo","DOGRI & HINDI"
1139,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","3. Establishment of Motherblocks","20.3.3.Canopy management in HDP orchards of specified crops (mango ,guava and citrus)",null,null,"https://www.youtube.com/watch?v=aspgSlA3HOI","https://youtu.be/f_QEldP3o4E","DOGRI & HINDI"
1140,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","3. Establishment of Motherblocks","20.3.4.Quality standards for purchase of plant material and budwood collection",null,null,"https://www.youtube.com/watch?v=8aMVPdRQjeE","https://youtu.be/KneQTKZQCWc","DOGRI & HINDI"
1141,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","3. Establishment of Motherblocks","20.3.5.Disease management of orchards",null,null,"https://www.youtube.com/watch?v=gvjaoLH7AgU","https://youtu.be/UYSbH41vmhg","DOGRI & HINDI"
1142,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","3. Establishment of Motherblocks","20.3.6.Pest management of orchards",null,null,"https://www.youtube.com/watch?v=ZtMei7VCot0","https://youtu.be/0FokYpS5UdI","DOGRI & HINDI"
1143,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","3. Establishment of Motherblocks","20.3.7 Business Plan",null,null,"https://www.youtube.com/watch?v=3179P99eNYw","https://youtu.be/9wA_z2DTVCM","DOGRI & HINDI"
1144,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","3. Establishment of Motherblocks","20.3.8 Financial Plan",null,null,"https://www.youtube.com/watch?v=aeeRqeSKEE0","https://youtu.be/cUI4LZoFgVg","DOGRI & HINDI"
1145,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","4. Rejuvenation of Old Orchards","20.4.1.Need, time and Methodology for rejuvenation of mango orchards of different age groups.",null,null,"https://www.youtube.com/watch?v=c5hJ7LgZL1U","https://youtu.be/oxqNKepBPLY","DOGRI & HINDI"
1146,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","4. Rejuvenation of Old Orchards","20.4.2.Budwood collection, storage, time and varieties suitable for rejuvenation",null,null,"https://www.youtube.com/watch?v=bP6BY6LLHUM","https://youtu.be/Jh3_6893Epk","DOGRI & HINDI"
1147,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","4. Rejuvenation of Old Orchards","20.4.3 Business Plan",null,null,"https://www.youtube.com/watch?v=3D6o12ncNMU","https://youtu.be/OWqlLuYuWXg","DOGRI & HINDI"
1148,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","4. Rejuvenation of Old Orchards","20.4.4 Financial Plan",null,null,"https://www.youtube.com/watch?v=wCbk1EvDSTQ","https://youtu.be/7_yHQkNwYC0","DOGRI & HINDI"
1149,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","4. Rejuvenation of Old Orchards",null,null,null,null,null,"DOGRI & HINDI"
1150,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","5. Protected Cultivation","20.5.1.Use of protected cultivation for raising quality plant material of different fruit crops",null,null,"https://www.youtube.com/watch?v=AtySSpWbFM0","https://youtu.be/5tT_XrK8Bco","DOGRI & HINDI"
1151,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","5. Protected Cultivation","20.5.2. Raising plant material of specified fruit crops under protected cultivation through grafting/ budding.",null,null,"https://www.youtube.com/watch?v=DqUEiPm9qoM","https://youtu.be/BEAyBbRpwkY","DOGRI & HINDI"
1152,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","5. Protected Cultivation","20.5.3 Business Plan",null,null,"https://www.youtube.com/watch?v=g7L9DN4peCE","https://youtu.be/oaVVHyR98LM","DOGRI & HINDI"
1153,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Production of Designer Plants for Promotion of High Density","5. Protected Cultivation","20.5.4 Financial Plan",null,null,"https://www.youtube.com/watch?v=Inpn37HdNII","https://youtu.be/Ef3m5o4x7F8","DOGRI & HINDI"
1154,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","1. Establishment of Breed Multiplication Farms","21.1.1 Purpose, Criteria and Benefits for Establishment of Breed Multiplication Farms",null,null,"https://www.youtube.com/watch?v=I6N_HWgKYG0","https://youtu.be/6_XnHAp9fYc","DOGRI & HINDI"
1155,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","1. Establishment of Breed Multiplication Farms","21.1.2 Dairy Cattle Breeds - Identification and Selection",null,null,"https://www.youtube.com/watch?v=eaNkX_iIVhM","https://youtu.be/LNEv11SDhLc","DOGRI & HINDI"
1156,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","1. Establishment of Breed Multiplication Farms","21.1.3 Animal Identification & Record Keeping",null,null,"https://www.youtube.com/watch?v=zzwRuqMUjXk","https://youtu.be/rdyXuq25HIg","DOGRI & HINDI"
1157,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","1. Establishment of Breed Multiplication Farms","21.1.4 Design and Layout of housing for different categories of livestock",null,null,"https://www.youtube.com/watch?v=vaHH27RNfkE","https://youtu.be/slPcV0yPXHo","DOGRI & HINDI"
1158,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","1. Establishment of Breed Multiplication Farms","21.1.5 Feeds And management of Dairy Cattle",null,null,"https://www.youtube.com/watch?v=p5d2IEKBfFg","https://youtu.be/k03hScZEBeU","DOGRI & HINDI"
1159,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","1. Establishment of Breed Multiplication Farms","21.1.6 Breeding Management of Dairy Cows",null,null,"https://www.youtube.com/watch?v=_GucIRFK-jo","https://youtu.be/0M2VDAo9Z3Q","DOGRI & HINDI"
1160,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","1. Establishment of Breed Multiplication Farms","21.1.7 Clean Milk Production",null,null,"https://www.youtube.com/watch?v=-fsUg9ZP8C4","https://youtu.be/Jzp8u55oZH0","DOGRI & HINDI"
1161,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","1. Establishment of Breed Multiplication Farms","21.1.8 Dairy Cattle Health Management",null,null,"https://www.youtube.com/watch?v=P5-tdK7Ntek","https://youtu.be/y3gM3FoxbVQ","DOGRI & HINDI"
1162,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","1. Establishment of Breed Multiplication Farms","20.1.9 Business Plan",null,null,"https://www.youtube.com/watch?v=QIsbYP0i618","https://youtu.be/1z_unT_FIO8","DOGRI & HINDI"
1163,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","1. Establishment of Breed Multiplication Farms","20.1.10 Financial Plan",null,null,"https://www.youtube.com/watch?v=lFcfOyZBbBE","https://youtu.be/F_KBBAm5EOU","DOGRI & HINDI"
1164,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","1. Establishment of Breed Multiplication Farms",null,null,null,null,null,"DOGRI & HINDI"
1165,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","2. Establishment of Satellite Heifer Units","21.2.1 Satellite Heifer Unit- Introduction & Business Module",null,null,"https://www.youtube.com/watch?v=c34m94JcBZI","https://youtu.be/DLpBu4RQnmk","DOGRI & HINDI"
1166,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","2. Establishment of Satellite Heifer Units","21.2.2 Dairy Heifers - Identification and Selection",null,null,"https://www.youtube.com/watch?v=4Osy8jR-1tg","https://youtu.be/WPA_Ax0K9s4","DOGRI & HINDI"
1167,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","2. Establishment of Satellite Heifer Units","21.2.3 Care & Management of calves",null,null,"https://www.youtube.com/watch?v=I_fHoUuAF7U","https://youtu.be/SqUNfzsfKDo","DOGRI & HINDI"
1168,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","2. Establishment of Satellite Heifer Units","21.2.4 Calf and heifer feeding",null,null,"https://www.youtube.com/watch?v=vZ6l_hIdl_A","https://youtu.be/A-Qs_3o1Mto","DOGRI & HINDI"
1169,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","2. Establishment of Satellite Heifer Units","21.2.5 Care and Management of heifers",null,null,"https://www.youtube.com/watch?v=CDfnYIGrWbE","https://youtu.be/MCWmdz_MISA","DOGRI & HINDI"
1170,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","2. Establishment of Satellite Heifer Units","21.2.6 Business Plan",null,null,"https://www.youtube.com/watch?v=a1_bvTj9N_U","https://youtu.be/DubJNDJHi7A","DOGRI & HINDI"
1171,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","2. Establishment of Satellite Heifer Units","21.2.7 Financial Plan",null,null,"https://www.youtube.com/watch?v=dzjBN41bOzQ","https://youtu.be/X5VcsjeuEbs","DOGRI & HINDI"
1172,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","3. Establishment of Milk Value Added Startups","21.3.1 Milk Plant requirements design and layout",null,null,"https://www.youtube.com/watch?v=rJ5ch9maN48","https://youtu.be/TaSwGxSLcOA","DOGRI & HINDI"
1173,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","3. Establishment of Milk Value Added Startups","21.3.2 Milk Processing",null,null,"https://www.youtube.com/watch?v=0hCBjonpGcY","https://youtu.be/dqwHZnzM-xw","DOGRI & HINDI"
1174,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","3. Establishment of Milk Value Added Startups","21.3.3 Classification of value added milk products",null,null,"https://www.youtube.com/watch?v=5__sjsMElZs","https://youtu.be/6_VquCx0au8","DOGRI & HINDI"
1175,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","3. Establishment of Milk Value Added Startups","21.3.4 Value addition of Milk : Part I Paneer preparation",null,null,"https://www.youtube.com/watch?v=ayfupD0aOYA","https://youtu.be/-z32qWKxUgY","DOGRI & HINDI"
1176,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","3. Establishment of Milk Value Added Startups","21.3.5 Value addition of Milk : Part II Khoa preparation",null,null,"https://www.youtube.com/watch?v=IFwRuN8NZh4","https://youtu.be/se_emlYqCMk","DOGRI & HINDI"
1177,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","3. Establishment of Milk Value Added Startups","21.3.6 Value addition of Milk: Part III Frozen Milk Products: Kulfi and Ice cream",null,null,"https://www.youtube.com/watch?v=cDAxVz_TuwI","https://youtu.be/qIwRdBr-M_4","DOGRI & HINDI"
1178,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","3. Establishment of Milk Value Added Startups","21.3.7 Value addition of Milk: Part IV Ghee preparation",null,null,"https://www.youtube.com/watch?v=KSaXF6G0FNM","https://youtu.be/VEEPaagKSKE","DOGRI & HINDI"
1179,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","3. Establishment of Milk Value Added Startups","21.3.8 Marketing of milk and milk products",null,null,"https://www.youtube.com/watch?v=w4yZjzBvZqo","https://youtu.be/Lec0N4YHCDg","DOGRI & HINDI"
1180,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","3. Establishment of Milk Value Added Startups","21.3.9 Business Plan",null,null,"https://www.youtube.com/watch?v=landFwSk94o","https://youtu.be/G66xGariPN4","DOGRI & HINDI"
1181,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Dairy Development","3. Establishment of Milk Value Added Startups","21.3.10 Financial Plan",null,null,"https://www.youtube.com/watch?v=03WPgMPQttg","https://youtu.be/5RyNUDrG9UQ","DOGRI & HINDI"
1182,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","1.General Sheep and Goat farming","22.1.1 Introduction/Benefits of sheep and goat farming-Common husbandry practices-Housing and sanitation",null,null,"https://youtu.be/8M5AVzzQScg","https://youtu.be/4Vt1VA24y00","DOGRI & HINDI"
1183,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","1.General Sheep and Goat farming","22.1.2.Prophylaxis and Health care for profitable sheep and goat farming",null,null,"https://youtu.be/tfw26XnAtfM","https://youtu.be/w-jkH_f5RrQ","DOGRI & HINDI"
1184,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","1.General Sheep and Goat farming","22.1.3 Feeding management of different categories of sheep and goat-",null,null,"https://youtu.be/dO7J3PislyU","https://youtu.be/58yJH7g9oBY","DOGRI & HINDI"
1185,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","1.General Sheep and Goat farming","22.1.4 UMMB, TMR and complete feed block, feedlotting",null,null,"https://www.youtube.com/watch?v=cHJixIQgopw","https://youtu.be/993Up1pZ9tQ","DOGRI & HINDI"
1186,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","1.General Sheep and Goat farming","22.1.5 Preservation and conservation of surplus green fodders as silage and Hay.",null,null,"https://youtu.be/yaqoqg2e8dU","https://youtu.be/n7Ren1Yi40s","DOGRI & HINDI"
1187,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","1.General Sheep and Goat farming","22.1.6 Use of different Assisted reproductive technologies",null,null,"https://youtu.be/mIlC6nu7r5o","https://youtu.be/9tB9kFZzMcU","DOGRI & HINDI"
1188,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","1.General Sheep and Goat farming","22.1.7 Business Plan",null,null,"https://youtu.be/g7UuATTxwB0","https://youtu.be/E9MrqWzw2MY","DOGRI & HINDI"
1189,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","1.General Sheep and Goat farming","22.1.8 Financial Plan",null,null,"https://youtu.be/F2VCi7oTF08?feature=shared","https://youtu.be/Bkm2PmnwEdY","DOGRI & HINDI"
1190,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","2. Establishment of Breed Based Farms","22.2.1 Establishment of Kashmir Merino/Corriedale/FecB breed based farms in Kashmir",null,null,"https://youtu.be/WBu7Ahn4XYA","https://youtu.be/1P953oyhrTk","DOGRI & HINDI"
1191,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","2. Establishment of Breed Based Farms","22.2.2 Record keeping",null,null,"https://youtu.be/3WABv-eEmLM?feature=shared","https://youtu.be/EbuNb3iT-3I","DOGRI & HINDI"
1192,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","2. Establishment of Breed Based Farms","22.2.3 Business Plan",null,null,"https://youtu.be/-ZE4G2pal7E?feature=shared","https://youtu.be/q4VjZvUI_7g","DOGRI & HINDI"
1193,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","2. Establishment of Breed Based Farms","22.2.4 Financial Plan",null,null,"https://youtu.be/lBJeFLjV-v4?feature=shared","https://youtu.be/4ub0uoTkzPg","DOGRI & HINDI"
1194,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","3. Establishment of Commercial Farms","22.3.1 Establishment of commercial sheep and goat farms for mutton production",null,null,"https://youtu.be/D1awxLpx1aQ","https://youtu.be/kt7tm_Bbyvs","DOGRI & HINDI"
1195,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","3. Establishment of Commercial Farms","22.3.2 Economics of commercial sheep and goat farms for mutton production",null,null,"https://youtu.be/Lgn6O-aJJfo","https://youtu.be/ufAR_cCzkYo","DOGRI & HINDI"
1196,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Self Sufficiency in Mutton Production","3. Establishment of Commercial Farms","22.3.3 Funding opportunities/ schemes for setting of sheep/ Goat Farm",null,null,"https://youtu.be/pxdUrfFNxDc","https://youtu.be/OA3IY1vdPOU","DOGRI & HINDI"
1197,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","1. Broiler Breeder Farm Cum Hatchery Management","23.1.1 Introduction and selection of parent stock",null,null,"https://www.youtube.com/watch?v=MPzhwooL10o","https://youtu.be/5umJLs_epDw","DOGRI & HINDI"
1198,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","1. Broiler Breeder Farm Cum Hatchery Management","23.1.2 Housing, feeding and light management",null,null,"https://www.youtube.com/watch?v=auyjkoO1N7E","https://youtu.be/2C3Vq9ftUF4","DOGRI & HINDI"
1199,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","1. Broiler Breeder Farm Cum Hatchery Management","23.1.3 Collection, transportation, storage, and setting/incubation of hatching eggs",null,null,"https://www.youtube.com/watch?v=vwvCP3wJwYU","https://youtu.be/gvgmPiMkxCc","DOGRI & HINDI"
1200,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","1. Broiler Breeder Farm Cum Hatchery Management","23.1.4 Hatchery management",null,null,"https://www.youtube.com/watch?v=2NMR42gpxxk","https://youtu.be/HA2HY_rt4b4","DOGRI & HINDI"
1201,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","1. Broiler Breeder Farm Cum Hatchery Management","23.1.5 Establishment of feed mill",null,null,"https://www.youtube.com/watch?v=vwNUkyj7CeY","https://youtu.be/ou3ZUwgU4QM","DOGRI & HINDI"
1202,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","1. Broiler Breeder Farm Cum Hatchery Management","23.1.6 Funding scheme",null,null,"https://www.youtube.com/watch?v=qCCRuDQWHP0","https://youtu.be/Tx7jPZHsMPs","DOGRI & HINDI"
1203,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","1. Broiler Breeder Farm Cum Hatchery Management","23.1.7 Business plan",null,null,"https://www.youtube.com/watch?v=1PPUeFvuI30","https://youtu.be/6s06kLeBNgc","DOGRI & HINDI"
1204,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","2.Poultry Feed Manufacture","23.2.1 Introduction to poultry feed industry and requirement for establishment of feed mill",null,null,"https://www.youtube.com/watch?v=5ICUE8IcB8g","https://youtu.be/ZDpJiOF82v4","DOGRI & HINDI"
1205,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","2.Poultry Feed Manufacture","23.2.2 Procurement, selection and feed formulation",null,null,"https://www.youtube.com/watch?v=TQL9c_xHXRw","https://youtu.be/5ZNSmMDUy4U","DOGRI & HINDI"
1206,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","2.Poultry Feed Manufacture","23.2.3.Processing and packaging of feed",null,null,"https://www.youtube.com/watch?v=IDXzgyUogLY","https://youtu.be/W3I8zAltM0g","DOGRI & HINDI"
