"Sr. No.","Sector","Name Of Course","Online","Duration","Required Age","Minimum Education","Requisites","Language","Required Description","For Certification Advanced Module","Video Link To Embed","Project Under Hadp","Skill Training Course","Title Of Lectures","Link Kashmiri Video","Link Urdu Video","Link Dogri Video","Link Hindi Video","Course Language"
42,"Personal Development","Introduction to Communication Skills","Free","10:00 hours","Any","Any","NA","English","This course provides a brief overview of understanding the Importance of effective communication in everyday life and the different types of communication like verbal, non-verbal (posture, body language, eye contact) needed for workplace communication.","https://www.skillindiadigital.gov.in/courses/detail/c64b3a91-0048-4de4-94f2-1f2d128cce3e",null,null,null,null,null,null,null,null,null
43,"IT-ITeS","Extract data with Azure Document Intelligence","Free","00:49 hours","18+","12th Pass, ITI, Diploma","ai-engineer,data-scientist,developer,ai-services","English","Azure Document Intelligence extracts data at scale to enable the submission of documents in real time, at scale, with accuracy. This module gives users the tools to use the Azure Document Intelligence vision API.","https://www.skillindiadigital.gov.in/courses/detail/b299192e-bee3-4fda-b00a-138f3f136be3",null,null,null,null,null,null,null,null,null
44,"Tourism and Hospitality","Guest Service Associate (Front Office)","Free","6:45 hours","18","12th Pass","Na","English","Guest Service Associate (Front Office) performs  front office and  reservation desk associate operations as per organizational service standards.","https://www.skillindiadigital.gov.in/courses/detail/e13d42f2-0587-4b2e-a38e-1551c9c52fdd",null,null,null,null,null,null,null,null,null
45,"IT-ITeS","Create a Web API with ASP.NET Core Controllers","Free","00:41 hours","18+","12th Pass, ITI, Diploma","developer,dotnet,aspnet-core","English","Create a RESTful service with ASP.NET Core controllers that supports create, read, update, delete (CRUD) operations.","https://www.skillindiadigital.gov.in/courses/detail/332d15b5-0775-48bc-9862-3e0d783d10ce",null,null,null,null,null,null,null,null,null
46,"Personal Development","Entrepreneurial Mindset (Hindi)","Free","18:00 hours","Any","No Formal Education required","NA","Hindi","A set of skills that enable people to identify and make the most of opportunities, overcome and learn from setbacks, and succeed in a variety of entrepreneurial settings.","https://www.skillindiadigital.gov.in/courses/detail/f2a15be9-b45f-4ddb-bda5-6a9e8d375bd0",null,null,null,null,null,null,null,null,null
47,"IT-ITeS","Secure MySQL","Free","00:38 hours","Above 18","12th Pass, ITI, Diploma","database-administrator,azure-database-mysql","English","Learn about Azure Database for MySQL security, encryption in Azure Database for MySQL, and how to configure Microsoft Entra authentication.","https://www.skillindiadigital.gov.in/courses/detail/91ad9b06-00d7-46ff-9f9f-9a6ff2ef37b2",null,null,null,null,null,null,null,null,null
48,"Automotive","CNC Operator Machining Technician (Lathe)","Free","01:28 hours","Any","Any","NA","English","The individual in this role supports the machining technician in various machining and inspection work on CNC/conventional machines such as quality verification, minor repair work, change of worn out tools, resetting of the tools, machine programming and de-burring.","https://www.skillindiadigital.gov.in/courses/detail/64824a12-c9c4-4481-84ad-7aa857207d70",null,null,null,null,null,null,null,null,null
49,"Production and Manufacturing","FITTER 1st YEAR (NSQF LEVEL 4) DRILLING MODULE","Free","120:30 hours","Above 18","10th Pass","NA","English","This module contains the Drilling of Fitter NSQF with scheduled Theory, Practical and Video references","https://www.skillindiadigital.gov.in/courses/detail/5680db27-8026-42f9-bc26-f7ec57411cfb",null,null,null,null,null,null,null,null,null
50,"Employability Enhancer","Business Skills","Paid, Rs.3000","5:00 hours","Above 18","10th Pass","NA","English","This program aims to empower you with essential skills, enabling you to excel as an expert problem solver, craft compelling storylines, create impactful slides, and execute engagements following agile methodologies.","https://www.skillindiadigital.gov.in/courses/detail/2215bebd-02e6-49f3-9477-6421208d77b4",null,null,null,null,null,null,null,null,null
51,"Retailers Association's","Trainee Associate","Free","3:35 hours","Any","Any","NA","English","Individuals in this position display merchandise and  interact with customers to understand their needs to service them with sales of  relevant product offerings whilst working cordially within the team and retail  organisation.","https://www.skillindiadigital.gov.in/courses/detail/d73650fc-420d-47d4-bad9-014fcc730c14",null,null,null,null,null,null,null,null,null
